RawRom,RawNep,NormNep,NormRom,Offensiveness,IsTaboo,Class,Class_Other,Profanity,Offensive
over naho,ओभर नहो,ओभर नहो,over naho,2,0,Other,Code Switch,,
aukaat,औकात,औकात,aukaat,1,0,Other,,,
aautha chhap,औंठा छाप,औंठा छाप,aautha chhap,1,0,Politics,,,
aulat,औलात,औलाद,aaulat,1,0,Relation,Imported,,
kattar,कट्टर,कट्टर,kattar,1,0,Other,,,
kattu,कट्टु,कट्टु,kattu,1,0,Cloth,,,
kathputali,कठपुतली,कठपुतली,kathputali,3,0,Politics,,,
kandam,कंडम,कन्डम,condom,1,0,Vulgar,,,
kandom,कन्डोम,कन्डम,condom,1,0,Vulgar,,,
kando,कन्ढो,कन्डो,kando,5,1,Body Part,,1,
kando pachhadi kura katchha,कन्डो पछाडी कूरा काट्छ,कन्डो पछाडि कुरा काट्नु,kando pachadi kura katchha,5,1,Idiom,Action,1,
kandani,कंदनी,कन्दनी,kandani,1,0,Race,,,
kandane,कन्दने,कन्दने,kandane,3,0,Race,,,
kanya,कन्या,कन्या,kanya,1,0,Marriage,Gender,,
kapat,कपट,कपट,kapat,1,0,Other,,,
kapti,कपटी,कपटी,kapti,3,0,Other,,,
kapti,कप्टी,कपटी,kapti,3,0,Other,,,
kaput,कपुत,कपुत,kaput,3,0,Other,,,
kamini,कमीनी,कमिनी,kamini,5,1,Race,Gender,1,
kamisan,कमीसन,कमिसन,kamisan,1,0,Politics,,,
kamisankhor,कल्मीस,कमिसन खोर,kamisankhor,2,0,Politics,,,
kamisankhor,कमीशनखोर,कमिसनखोर,kamisankhor,2,0,Politics,,,
kamaunist,कमाउनीस्ट,कम्युनिस्ट,kamaunist,3,0,Politics,,,
communist,कम्युनिस्ट,कम्युनिस्ट,communist,1,0,Politics,,,
karang,करङ,करङ,karang,1,0,Body Part,,,
karange,करङे,करङे,karange,2,0,Other,Body Part,,
karod jhwam,करोड़ झवाम,करोड झ्वाम,krod jwam,1,0,Politics,,,
kawadi,कवाडी,कवाडी,kawadi,1,0,Other,,,
kahi navako,कही नभाको,कहीँ नभएको,kahi nabhako,1,0,Other,,,
kaite,काइते,काइते,kaite,3,0,Other,,,
kaite para,काइते पारा,काइते पारा,kaite para,3,0,Other,,,
kause,काउसे,काउसे,kause,3,0,Other,Plant,,
kaauso,काउसो,काउसो,kaauso,1,0,Plant,,,
kagle kagkai naam kadchha,कागले कागकै नाम काढछ,कागले कागकै नाम काढ्नु,kagle kagkai naam kadchha,1,0,Idiom,Action,,
kangresi,कंग्रेसी,कांग्रेसी,kangresi,1,0,Politics,,,
kangresi,काङ्ग्रेसी,कांग्रेसी,kangresi,1,0,Politics,,,
katto,काट्टो,काट्टो,katto,2,0,Death,,,
katinchha,काटिन्छ,काट्नु,kaatinchha,1,0,Action,,,
katnu,काट्नु,काट्नु,katnu,1,0,Action,,,
katha,काठा,काठा,katha,4,0,Race,,,
kathi,काठी,काठी,kathi,4,0,Race,,,
katho,काठो,काठो,katho,4,0,Race,,,
katro,कात्रो,कात्रो,katro,1,0,Death,,,
kano,कानो,कानो,kano,4,0,Disability,,,
kanu,कानु,कानो,kano,4,0,Disability,,,
kami,कामी,कामी,kami,1,0,Race,,,
kayar,कायर,कायर,kayar,2,0,Other,,,
katike,कातिके,कार्तिके,katike,2,0,Animal,,,
kalle pani kati bachako,कालले पनि कती बचाएको,कालले पनि कती बचाएको,kalle pani kati bachako,3,0,Death,,,
kalo jhanda,कालो झण्डा,कालो झण्डा,kalo jhanda,1,0,Politics,,,
kiriya,किरिया,किरिया,kiriya,2,0,Death,,,
kukur,कुकुर,कुकुर,kukur,1,0,Animal,,,
kukurni,कुकुर्नी,कुकुर्नी,kukurni,3,0,Animal,,,
kuchaidiu,कुच्याइदिउँ,कुच्याइ दिनु,kuchyaidinu,2,0,Action,,,
kuchhaidiu,कुच्चाईदिउँ,कुच्याइ दिनु,kuchyaidinu,2,0,Action,,,
kunthit,कूण्ठीत,कुण्ठित,kunthit,1,0,Other,,,
kutatwa,कुतत्व,कुतत्त्व,kutatwa,1,0,Other,,,
kutatwa,कूतत्व,कुतत्त्व,kutatwa,1,0,Other,,,
kun chahi pagal,कुन चाहिँ पागल,कुन चाहिँ पागल,kun chahi pagal,4,0,Disability,,,
kuputra,कुपुत्र,कुपुत्र,kuputra,1,0,Relation,,,
kuputri,कुपुत्री,कुपुत्री,kuputri,2,0,Relation,,,
kubudhi,कूबूद्दी,कुबुद्धि,kubuddhi,1,0,Other,,,
kumar,कुमार,कुमार,kumar,1,0,Marriage,Relation,,
kumari,कुमारी,कुमारी,kumari,1,0,Marriage,Relation,,
kumlaunu,कूम्ल्याउनु,कुम्ल्याउनु,kumlaunu,1,0,Action,,,
kura katchha,कूरा काट्छ,कुरा काट्नु,kura katchha,2,0,Action,,,
kuri kuri,कूरी कूरी,कुरी कुरी,kurikuri,1,0,Other,,,
kurikuri,कूरीकूरी,कुरी कुरी,kurikuri,1,0,Other,,,
kuri kuri,कुरी कुरी,कुरी कुरी,kurikuri,1,0,Other,,,
kurup,कूरूप,कुरूप,kurup,1,0,Other,,,
kurupta,कुरूपता,कुरूपता,kurupta,1,0,Other,,,
kuraute,कूरौटे,कुरौटे,kuraute,3,0,Other,,,
kubichar,कूवीचार,कुविचार,kubichar,2,0,Politics,,,
kubichari,कूवीचारी,कुविचारी,kubichari,3,0,Other,,,
kustarog,कूष्ठरोग,कुष्ठरोग,kustharog,1,0,Disease,,,
kustarogi,कूष्ठरोगी,कुष्ठरोगी,kustharogi,1,0,Other,Disease,,
kripabad,कृपाबाद,कृपावाद,kripabad,1,0,Politics,,,
kera,केरा,केरा,kera,1,0,Plant,,1,
kera kha,केरा खा,केरा खानु,kera khanu,1,0,Action,Plant,1,
kerakha,केराखा,केरा खानु,kera khanu,1,0,Action,Plant,1,
kodalo,कोदालो,कोदालो,kodalo,1,0,Weapon,,,
kaudi,कौडी,कौडी,kaudi,1,0,Other,,,
kaude,कौडे,कौडे,kaude,1,0,Other,,,
kauwa,कौवा,कौवा,kauwa,1,0,Animal,,,
cancer,क्यान्सर,क्यान्सर,cancer,1,0,Disease,,,
krantikari,क्रान्तीकारी,क्रान्तिकारी,krantikari,1,0,Politics,,,
chhetri,क्षेत्री,क्षत्री,chhetri,1,0,Race,Politics,,
khakar,खकार,खकार,khakar,1,0,Excretion,,,
kharani,खरानी,खरानी,kharani,1,0,Religion,,,
kharani dhasera,खरानी धसेर,खरानी धसेर,kharani dhasera,1,0,Religion,Politics,,
khata,खाते,खाते,khata,4,0,Other,,,
khate,खाते,खाते,khate,4,0,Other,,1,
khateay,खाते,खाते,khateay,4,0,Other,,1,
khatee,खाते,खाते,khatee,4,0,Other,,1,
khate bahun,खाते वाहुन,खाते बाहुन,khate bahun,4,0,Race,,1,
khateni,खातेेनी,खातेनी,khateni,4,0,Race,,1,
khatay,खातेे,खाते,khate,4,0,Other,,1,
khal,खाल,खाल,khal,1,0,Other,,,
khukuri,खुकुरी,खुकुरी,khukuri,1,0,Weapon,,,
khutta tanai,खुट्टा तनाइ,खुट्टा तान्नु,khutta tanai,1,0,Action,Politics,,
khutta tannu,खुट्टा तान्नु,खुट्टा तान्नु,khutta tannu,1,0,Action,Politics,,
khuda,खूडा,खुँडा,khuda,1,0,Weapon,,,
khudo,खुँडो,खुँडो,khudo,1,0,Weapon,,,
khuttiyo,खूत्तीयो,खुत्तीनु,khuttinu,3,0,Other,,,
khutyayeu,खुत्त्यायौ,खुत्त्याउनु,khutyaaunu,4,0,Action,,,
khun chus chha,खून चूस छ,खुन चुसनु,khun chus chha,1,0,Action,Excretion,,
khuni,खूनी,खुनी,khuni,2,0,Other,Excretion,,
khurapati,खुरापाती,खुराफाती,khurafati,2,0,Politics,,,
khulkyais,खूल्क्याइस,खुल्क्याउनु,khulkyaunu,5,1,Other,,,
khusket,खुस्केट,खुस्केट,khusket,4,0,Disability,,,
khedo khanne,खेदो खन्ने,खेदो खन्नु,khedo khannu,2,0,Action,,,
khaire,खैरे,खैरे,khaire,1,0,Race,Geographic Location,,
khoki,खोकी,खोकी,khoki,1,0,Excretion,,,
khoya,खोया,खोयो,khoyo,1,0,Plant,,,
Khor,खोर,खोर,Khor,1,0,Other,Animal,,
khole,खोले,खोले,khole,1,0,Other,,,
gajdhr,गजधर,गजाधर,gajadar,1,0,Other,,,
gajadar,गजाधर,गजाधर,gajadar,1,0,Other,,,
gaddar,गद्दार,गद्दार,gaddar,3,0,Politics,,,
gaddari,गद्दारी,गद्दारी,gaddari,2,0,Politics,,,
gadha,गधा,गधा,gadha,1,0,Animal,,,
gada,गधा,गधा,gadha,1,0,Animal,,,
gadhaa,गधा,गधा,gadha,1,0,Animal,,,
gdha,गधा,गधा,gadha,1,0,Animal,,,
gadha kukur,गधा कुकुर,गधा कुकुर,gadha kukur,3,0,Animal,,,
gadhale,गधाले,गधाले,gadhale,1,0,Other,Animal,,
gadheni,गधेनि,गधेनी,gadheni,4,0,Animal,,,
ganaune,गनाउने,गन्हाउने,ganaune,1,0,Other,,,
gandha aauchha,गन्ध आउँछ,गन्ध आउँछ,gandha aauchha,1,0,Other,Excretion,,
gandhe,गन्धे,गन्धे,gandhe,1,0,Other,Excretion,,
ganaune,गन्हाउने,गन्हाउने,ganaune,1,0,Other,Excretion,,
gaf lauchha,गफ लाउछ,गफ लाउँछ,guff laauchha,2,0,Politics,,,
gafadi,गफाडी,गफाडी,gafadi,4,0,Politics,,,
gaffadi,गफ्फाडि,गफाडी,gafadi,4,0,Politics,,,
gafe,गफे,गफै,gafai,3,0,Politics,,,
garib manasikta,गरीब मानसीकता,गरिब मानसिकता,garib manasikta,3,0,Other,,,
galala,गलल,गलल,galala,1,0,Other,,,
gawar,गवार,गवार,gawar,3,0,Other,,,
gandu,गान्दु,गाँडू,gandu,4,0,Other,Body Part,1,
gadhe,गाँढे,गाँडे,gande,2,0,Other,Body Part,1,
gala futne gari,गाला फुट्ने गरी,गाला फुट्ने गरी,gala futni gari,2,0,Other,,,
gidda,गीद्द,गिध्द,Giddha,1,0,Animal,,,
gilla,गिल्ला,गिल्ला,gilla,2,0,Other,,,
gu,गु,गु,gu,2,0,Excretion,,1,
gu,गू,गु,gu,2,0,Excretion,,1,
guu,गु,गु,guu,2,0,Excretion,,1,
gu khane,गु खाने,गु खाने,gu khane,3,0,Action,Excretion,1,
gu gobar,गु गोवर,गु गोबर,gu gobar,2,0,Excretion,,1,
gu biraloko jastai lukauchhan,गू बीरालो को जस्तै लूकाऊछन,गु बिरालोको जस्तै लुकाउनु,gu biraloko jastai lukaunu,4,0,Other,Animal,1,
gunyu,गुन्यु,गुन्यु,gunyu,1,0,Cloth,,,
gula,गुला,गुला,gula,5,1,Body Part,Sex and Porn,1,
gulam,गुलाम,गुलाम,gulam,3,0,Politics,,,
gulam,गूलाम,गुलाम,gulam,3,0,Politics,,,
guhe,गूहे,गुहे,guhe,3,0,Other,Excretion,1,
ge,गे,गे,ge,5,1,Gender,Sex and Porn,1,
geda,गेडा,गेडा,geda,1,0,Body Part,Plant,1,
gothala,गोठाला,गोठाला,gothala,1,0,Other,,,
gothalo,गोठालो,गोठालो,gothalo,1,0,Other,,,
gothalo baso,गोठालो बसो,गोठालो बस्यो,gothalo basyo,1,0,Other,,,
gobar,गोबर,गोबर,gobar,1,0,Excretion,,,
gobar gwach,गोवर ग्वाँच,गोबर ग्वाँच,gobar gwach,4,0,Disability,Excretion,,
gobarganesh,गोबरगणेश,गोबरगणेश,gobarganesh,4,0,Disability,Excretion,,
gobre,गोव्रे,गोब्रे,gobre,1,0,Animal,,,
goru,गोरु,गोरु,goru,1,0,Animal,Race,,
goru,गोरू,गोरु,goru,1,0,Animal,Race,,
goru ghichera,गोरु घिचेरा,गोरु घिचेर,goru ghichera,3,0,Race,Animal,,
goli,गोली,गोली,goli,1,0,Weapon,,,
goli thoknu,गोली ठोक्नु,गोली ठोक्नु,goli thoknu,1,0,Action,,,
goli thokknu par6a,गोली ठोक्नु पर्छ,गोली ठोक्नु पर्छ,goli thoknu parchha,3,0,Action,,,
goli hanna,गोली हान्न,गोली हान्नु,goli hannu,1,0,Action,,,
golinahaneko,गोली नहानेको,गोली हान्नु्,goli hannu,1,0,Action,,,
gwach,ग्वाँच,ग्वाँच,gwach,3,0,Disability,,,
ghatiyaa,घटिया,घटिया,ghatiya,2,0,Other,,,
ghatiya soch,घटीया सोच,घटिया सोच,ghatiya soch,3,0,Other,,,
ghantaaa,घण्टा,घण्टा,ghanta,1,0,Other,Religion,1,
ghanta,घण्टा,घण्टा,ghanta,1,0,Other,Religion,1,
ghat,घाट,घाट,ghat,1,0,Death,,,
ghando,घाँडो,घाँडो,ghando,1,0,Other,,1,
ghati,घाती,घाती,ghati,1,0,Other,,,
ghas,घाँस,घाँस,ghas,1,0,Plant,,,
ghichera,घीचेर,घिचेर,ghichera,2,0,Other,,,
ghin lagdo,घीन लाग्दो,घिन लाग्दो,ghin lagdo,1,0,Other,,,
ghuda tenke,घूडा टेक्ने,घुँडा,ghuda,1,0,Body Part,,,
ghuskohri,घूसखोरी,घुसखोरी,ghuskhori,2,0,Politics,,,
ghusiya,घुसिया,घुसिया,ghusiya,2,0,Politics,,,
ghusiya,घूसीया,घुसिया,ghusiya,2,0,Politics,,,
grinda,घृणा,घृणा,ghrina,1,0,Other,,,
ghokrayera,घोक्राएर,घोक्राएर,ghokrayera,3,0,Other,,,
gokrayar,घोक्राएर,घोक्राएर,ghokrayera,3,0,Other,,,
ghochuharu,घोचुहरू,घोचुहरु,ghochuharu,2,0,Other,,,
chhakku,चक्कु,चक्कु,chhakku,1,0,Weapon,,,
chatak,चटक,चटक,chatak,1,0,Other,,,
chatake,चटके,चटके,chatake,1,0,Other,,,
chandal,चन्डाल,चण्डाल,chandal,3,0,Other,,1,
chamche,चम्चे,चम्चे,chamche,3,0,Politics,,,
challa,चल्ला,चल्ला,challa,1,0,Animal,,,
chak,चाक,चाक,chak,3,0,Body Part,,1,
chakadi,चाकठि,चाकडी,chakadi,2,0,Politics,,,
"chatnu, chhatnu",चाट्नु,चाट्नु,chatnu,1,0,Action,,1,
charanika murga baranika masala,चारानीका मूर्गा बार्हआनीका मसाला,चारानीका मूर्गा बार्हआनीका मसला,charanika murga baranika masala,1,0,Idiom,Imported,,
chikam,चिकम,चिकुम,chikum,5,1,Vulgar,Gender,1,
chikdai,चिक्दै,चिक्दै,chikdai,5,1,Vulgar,Gender,1,
chekna,चिक्न,चिक्न,chikna,5,1,Vulgar,Gender,,
chiknu,चिक्नु,चिक्नु,chiknu,5,1,Vulgar,Gender,,
chikne,चीक्ने,चिक्ने,chikne,5,1,Other,Gender,1,
chit chorera paas garya jasto chha,चीट चोरेर पास गर्या जस्तो छ,चिट चोरेर पास गरेको जस्तो छ,chit chorera paas gareok jasto chha,3,0,Other,,,
chindai parne,चीण्डै पार्ने,चिण्डै पार्ने,chindai parne,2,0,Politics,Action,,
chinnelai srikhanda nachinnelai khurpako bid,चीन्नेलाइ श्रीखण्ड नचीन्नेलाइ खूर्पाको बींण,चिन्नेलाई श्रीखण्ड नचिन्नेलाई खुर्पाको विंड,chinne lai srikhanda nachinnelai khurpako bid,1,0,Idiom,,,
chihan,चिहान,चिहान,chihan,1,0,Death,,,
chudel,चुडेल,चुडेल,chudel,2,0,Other,,,
chudelni,चुँडेल्नी,चुडेल्नी,chudelni,2,0,Other,,,
chut,चुत,चुत,chut,5,1,Vulgar,,1,
chutdike,चुतडीके,चुतडाका,chutdaka,5,1,Other,,1,
chutini,चुतिनी,चुतिनी,chutini,5,1,Other,,1,
chutiya,चुतिया,चुतिया,chutiya,5,1,Other,,1,
chutiya,चूतीया,चुतिया,chutiya,5,1,Other,,1,
chutiyagiri,चूतीयागीरी,चुतियागिरी,chutiyagiri,5,1,Other,,1,
chhttho,चुत्थो,चुत्थो,chhttho,5,1,Other,,1,
chuplag,चुपलाग,चुपलाग,chuplag,1,0,Other,,,
churifuri,चुरिफुरि,चुरीफुरी,churifuri,1,0,Other,,,
chuleshi,चुलेसी,चुलेँसी,chulesi,1,0,Weapon,,,
chusnu,चुस्नु,चुस्नु,chusnu,1,0,Action,,1,
chela,चेला,चेला,chela,1,0,Relation,Politics,,
chod,चोद,चोद,chod,,,,,1,
choda,चोद,चोद,chod,,,,,1,
chor,चाेर,चोर,chor,1,0,Other,,,
chor,चोर,चोर,chor,1,0,Other,,,
chor mathi chandal,चाेर माथी चन्डाल,चोर माथी चण्डाल,chor mathi chandal,2,0,Idiom,,,
chordaka,चोरडाँका,चोरडाका,chordaka,2,0,Other,,,
cholo,चोर्नी,चोर्नी,chorni,4,0,Other,,,
,चोलो,चोलो,cholo,1,0,Cloth,,,
chhakka,छक्का,छक्का,chhakka,1,0,Gender,Sex and Porn,1,
chhaura,छाउरा,छाउरा,chhaura,1,0,Animal,,,
chhauri,छाउरी,छाउरी,chhauri,1,0,Animal,,,
chauro,छाउरो,छाउरो,chhauro,1,0,Animal,,,
chhada,छाडा,छाडा,chhada,2,0,Other,Sex and Porn,,
chhad,छाद,छाद,chhad,1,0,Excretion,,,
chhi,छि,छी,chhi,1,0,Other,Excretion,,
chi chhi,छी छी,छी छी,chhi chhi,1,0,Other,Excretion,,
chhura,छुरा,छुरा,chhura,1,0,Weapon,,,
chhuelaa,छेउला,छेउला,chheula,1,0,Other,plant?,,
chheparo,छेपारो,छेपारो,chheparo,1,0,Animal,,,
cher,छेर,छेर,chher,3,0,Excretion,,1,
chhauda,छौंडा,छौंडा,chhauda,2,0,Animal,,,
chhya chhya,छ्या छ्या,छ्या छ्या,chhya chhya,1,0,Other,Excretion,,
jagga dalal,जग्गा दलाल,जग्गा दलाल,jagga dalal,4,0,Other,,,
jangali,जंगली,जङ्गली,jangali,1,0,Other,Plant,,
jangali,जङ्गली,जङ्गली,jangali,1,0,Other,Plant,,
jangali,जङ्गली,जङ्गली,jangali,1,0,Other,Geographic Location,,
jata jata bahun baje utai utai swaha,जता जता बाहुन बाजे उतै उतै स्वाहा,जता जता बाहुन बाजे उतै उतै स्वाहा,jata jata bahun baje utai utai swahwa,3,0,Idiom,Race,,
janawar,जनावर,जनावर,janawar,1,0,Animal,,,
janai,जनै,जनै,janai,1,0,Race,,,
jantu,जन्तु,जन्तु,jantu,1,0,Animal,,,
jamana ka dekhi ka pugi sakeu ailepani/taipani,जमाना कहाँ देखि कहाँ पुगीसक्यो अहिलेपनि,जमाना कहाँदेखि कहाँसम्म पुगिसक्यो अहिलेपनि,jamana kahandekhi kahan samma pugisakyo ahile pani,1,0,Politics,,,
jalaunu,जलाउनु,जलाउनु,jalaunu,1,0,Action,,,
jantha,जाँठा,जाँठा,jantha,5,1,Body Part,Sex and Porn,1,
jhatha,जाँठा,जाँठा,jantha,5,1,Body Part,Sex and Porn,1,
janthi,जाँठी,जाँठी,janthi,5,1,Gender,Sex and Porn,1,
jatha,जाथो,जाठा,jatha,,,,,1,
jatho,जाँठो,जाँठो,jantho,5,1,Gender,Sex and Porn,1,
jatho,जाथो,जाँठो,jantho,5,1,Gender,Sex and Porn,1,
jathi,जाठी,जाथी,jathi,,,,,1,
janne palteko,जान्ने पल्टेको,जान्ने पल्टेको,janne palteko,3,0,Other,,,
jali,जाली,जाली,jaali,1,0,Other,,,
jiudai jalaunnu,जीउँदै जलाउनु,जीउँदै जलाउनु,jiudai jalaunu,3,0,Action,Death,,
jiudo murda,जीउदो मूर्दा,जीउँदो मूर्दा,jiudo murda,4,0,Death,,,
juttako mala,जुताको माला,जुताको माला,juttako mala,2,0,Other,,,
jun goru aye pani kano,जून गोरू आएपनी कानो,जुन गोरु आएपनि कानो,jun goru ayepani kano,3,0,Idiom,Politics,,
jumra,जूम्रा,जुम्रा,jumra,1,0,Animal,Body Part,,
jumra mareko,जूम्रा मारेको,जुम्रा मारेको,jumra mareko,1,0,Other,Body Part,,
jumro,जूम्राे,जुम्रो,jumro,1,0,Animal,Politics,,
je ayo tei,जे आयो त्यही,जे आयो त्यही,je ayo tyahi,1,0,Other,,,
je khayo tei,जे खायो त्यही,जे खायो त्यही,je khayo tyahi,1,0,Other,,,
je payo tei,जे पायो त्यही,जे पायो त्यही,je payo tyahi,1,0,Other,,,
jaisi,जैसी,जैसी,jaisi,1,0,Race,,,
jo chor usaiko thulo swar,जाे चाेर उसकै ठूलाे स्वर,जो चोर उसको ठूलो स्वर,jo chor usko thulo swar,3,0,Idiom,,,
jaan mara,ज्यानमारा,ज्यानमारा,jyanmara,2,0,Other,Politics,,
jhande,झन्डे,झन्डे,jhande,2,0,Other,,,
jhappad,झापड,झापड,jhapad,1,0,Action,,,
jhapali,झापाली,झापाली,jhapali,2,0,Geographic Location,,,
jharpat,झारपात,झारपात,jharpat,1,0,Plant,,,
jhare,झारे,झारे,jhare,2,0,Other,,,
jhat,झाट,झाट,jhat,,,,,1,
jharnu,झार्नु,झार्नु,jharnu,1,0,Action,,,
jhinga,झींगा,झिँगा,jhinga,1,0,Animal,,,
jhut,झूट,झुट,jhut,1,0,Other,,,
jhuse,झुसे,झुसे,jhuse,1,0,Other,Body Part,1,
jhola,झोला,झोला,jhola,1,0,Politics,,,
jhole,झोले,झोले,jhole,2,0,Politics,,,
jhakne,झ्याक्ने,झ्याक्ने,jhakne,5,1,Other,,,
jham,झवाम,झ्वाम,jhwam,1,0,Politics,,,
tanta khalas,टन्टा खलास,टन्टा खलास,tanta khalas,2,0,Other,,,
tanta saf,टन्टा साफ,टन्टा साफ,tanta saph,2,0,Other,,,
tapare,टपरे,टपरे,tapare,4,0,Race,,,
tauko,टाउको,टाउको,taauko,1,0,Body Part,,,
tathabatha,टाठावाठा,टाठाबाठा,tathabatha,1,0,Other,,,
tilo,टिलो,टिलो,tilo,3,0,Death,,,
