RawRom,RawNep,NormNep,NormRom,Offensiveness,IsTaboo,Class,Class_Other,Profanity,Offensive
adhinayak,अधिनायक,अधिनायक,adhinayak,1,0,Politics,,,
adhinayak tantra,अधिनायक तन्त्र,अधिनायक तन्त्र,adhinayak tantra,1,0,Politics,,,
adhinayakatwa,अधिनायकत्व,अधिनायकत्व,adhinayakatwa,1,0,Politics,,,
adhinayakbad,अधिनायकवाद,अधिनायकवाद,adhinayakbad,1,0,Politics,,,
adhinayakbadi,अधिनायकवादी,अधिनायकवादी,adhinayakbadi,1,0,Politics,,,
adhinayaki,अधिनायकी,अधिनायकी,adhinayaki,2,0,Politics,,,
andhabhakta,अन्धभक्त,अन्धभक्त,andhabhakta,2,0,Politics,,,1
andha,अन्धा,अन्धा,andha,3,0,Disability,Body Part,,1
andhi,अन्धी,अन्धी,andhi,3,0,Disability,Body Part,,
andho,अन्धो,अन्धो,andho,3,0,Disability,Body Part,,
aparadh,अपराध,अपराध,aparadh,1,0,Other,,,
aparadhi,अपराधी,अपराधी,aparadhi,1,0,Other,,,
aparipakwa,अपरीपक्व,अपरिपक्व,aparipakwa,1,0,Other,,,
aparipakwata,अपरिपक्वता,अपरिपक्वता,aparipakwata,1,0,Other,,,
aputali,अपूताली,अपुताली,aputali,3,0,Marriage,Relation,,
aputali,अपुताली,अपुताली,aputali,3,0,Marriage,Relation,,
aputo,अपूतो,अपुतो,aputo,3,0,Disability,Relation,,
aputra,अपुत्र,अपुत्र,aputra,2,0,Relation,,,
aputri,अपुत्री,अपुत्री,aputri,2,0,Relation,,,
abujh,अबूझ,अबुझ,abujh,2,0,Other,,,
abujhaki,अबुझकी,अबुझकी,abujhaki,2,0,Other,,,
abhiman,अभिमान,अभिमान,abhiman,1,0,Other,,,
abhimani,अभिमानी,अभिमानी,abhimani,1,0,Other,,,
aringal,अरीङ्गाल,अरिङ्गाल,aringal,1,0,Animal,,,
ardha pagal,अर्ध पागल,अर्धपागल,ardhapagal,3,0,Disability,,,
arda pagal,अर्ध पागल,अर्धपागल,ardhapagal,3,0,Disability,,,
hafmind,अर्ध पागल,अर्धपागल,ardhapagal,3,0,Disability,,,
alachhin,अलच्छिन,अलच्छिन,alachchhin,1,0,Other,,1,
alachhini,अलछिनि,अलच्छिनी,alachhini,4,0,Other,,1,
aslil,अश्लील,अश्लील,ashlil,1,0,Vulgar,,0,
aslil,अस्लील,अश्लील,ashlil,1,0,Vulgar,,0,
aslilta,अश्लीलता,अश्लीलता,ashlilta,2,0,Vulgar,,,
asakchham,असक्षम,असक्षम,asakchham,1,0,Disability,,,
aimai,आइमाइ,आइमाई,aaimai,2,0,Gender,Sex and Porn,,
ankho fodchhu,आँखो फोड्छु,आँखो फोड्नु,aankho phodchhu,3,0,Action,Body Part,,
aukow fodxuh,आँखो फोड्छु,आँखो फोड्नु,aankho phodchhu,3,0,Action,Body Part,,
aachi,आची,आची,aachi,2,0,Excretion,,,
achi,आचि,आची,aachi,2,0,Excretion,,,
aachi kha,आचि खा,आची खानु,aachi khanu,4,0,Action,Excretion,,
aachi kha,आची खा,आची खानु,aachi khanu,4,0,Action,Excretion,,
aatanka,आतङ्क,आतङ्क,aatanka,1,0,Politics,,,
atanka machhayo,आतंक मच्चायो,आतङ्क मच्चाउनु,aatanka machhayo,4,0,Politics,Action,,
aatankakari,आतङ्ककारी,आतङ्ककारी,aatankakari,2,0,Politics,,1,
atankakari,आतंककारी,आतङ्ककारी,aatankakari,2,0,Politics,,1,
aatankakari,आतंककारि,आतङ्ककारी,aatankakari,2,0,Politics,,1,
aatankapurna,आतङ्कपूर्ण,आतङ्कपूर्ण,aatankapurna,1,0,Politics,,,
aatankayudha,आतङ्कयुद्ध,आतङ्कयुद्ध,aatankayudha,1,0,Politics,,,
aatankabad,आतङ्कवाद,आतङ्कवाद,aatankabad,1,0,Politics,,,
aatankabadhi,आतङ्कवादी,आतङ्कवादी,aatankabadhi,1,0,Politics,,1,
aatankabadi,आतंकवादी,आतङ्कवादी,aatankabadhi,1,0,Politics,,1,
atankabadi,आतंकवादि,आतङ्कवादी,aatankabadhi,1,0,Politics,,1,
atankabadi,आतङ्कवादि,आतङ्कवादी,aatankabadhi,1,0,Politics,,1,
aatankit,आतङ्कित,आतङ्कित,aatankit,1,0,Politics,,,
afai mapai,आफैं मपाई,आफैं मपाईं,afai mapai,2,0,Other,,,
afno khuttama bancharo hannu,आफ्नो खूट्टामा बन्चरो हान्नू,आफ्नो खुट्टामा बन्चरो हान्नु,afno khuttama banchhoro hannu,1,0,Idiom,Action,,
afno bayan afai,आफ्नो वयान आफैं,आफ्नो बयान आफैं,afno bayan afai,2,0,Idiom,,,
aalu,आलु,आलु,aalu,1,0,Plant,,,
alu pade,आलु पाँडे,आलु पाँडे,alu pande,3,0,Politics,,,
asepase,आसेपासे,आसेपासे,asepase,1,0,Politics,,,
indian,ईन्डियन,ईन्डियन,indian,1,0,Race,Geographic Location,,
puar patar,उफर पाटर,उछारपछार,uchharpachhar,1,0,Other,,,
uphar patar,उफर पटार,उछारपछार,uchharpachhar,1,0,Other,,,
ucharpato,उछारपाटो,उछारपाटो,ucharpato,1,0,Other,,,
ulphako dhan bokera phupu ko sradha,उल्फाको धन बोकेर फूपूको श्राद्ध,उल्फाको धन फुपूको श्राद्ध,ulphako dhan bokera phupuko sraddha,1,0,Idiom,Politics,,
ullu,उल्लू,उल्लु,ullu,1,0,Animal,,,
ulluka patta,उल्लूका पट्टा,उल्लूका पट्टा,ulluka patta,3,0,Animal,Imported,1,
aids,एड्स,एड्स,aids,1,0,Disease,,,
aijheru,अैंझेरु,ऐझेरु,aijheru,1,0,Plant,,,
aijheru,अैझेरु,ऐझेरु,aijheru,1,0,Plant,,,
aisha,एैश,ऐस,ais,1,0,Other,,,
over,ओभर,ओभर,over,1,0,Other,Imported,,
over nabol,ओभर नवोल,ओभर नबोल,over nabol,2,0,Other,Code Switch,,
